,id,nome_carro,marca,modelo,preco_novo,custo_minimo,custo_maximo,idade_veiculo,km_dirigidos,tipo_vendedor,tipo_combustivel,tipo_transmissao,milhagem,motor,poder_maximo,assentos,preco_venda,ipva,km_por_ano,fabricacao
74,135,Mahindra Scorpio,Mahindra,Scorpio,New Car (On-Road Price) : Rs.15.10-19.92 Lakh*,1510000.0,1992000.0,5,46400,distribuidora,Diesel,Manual,15.4,2179,120,7,1150000,46000,9280.0,2019
75,137,Datsun GO,Datsun,GO,New Car (On-Road Price) : Rs.4.80-7.88 Lakh*,480000.0,788000.0,6,35000,particular,Petrol,Manual,19.44,1198,67,7,350000,14000,5833.333333333333,2018
76,138,Mahindra Scorpio,Mahindra,Scorpio,New Car (On-Road Price) : Rs.15.10-19.92 Lakh*,1510000.0,1992000.0,4,30000,distribuidora,Diesel,Manual,15.4,1997,120,7,1125000,45000,7500.0,2020
77,141,Datsun GO,Datsun,GO,New Car (On-Road Price) : Rs.4.97-8.09 Lakh*,497000.0,809000.0,3,10000,particular,Petrol,Manual,20.62,1198,67,7,480000,19200,3333.3333333333335,2021
78,143,Hyundai Creta,Hyundai,Creta,New Car (On-Road Price) : Rs.11.70-19.75 Lakh*,1170000.0,1975000.0,4,102000,distribuidora,Diesel,Automatic,17.01,1582,126.2,5,1100000,44000,25500.0,2020
79,145,Maruti Swift Dzire,Maruti,Swift Dzire,New Car (On-Road Price) : Rs.6.56-10.04 Lakh*,656000.0,1004000.0,9,49948,distribuidora,Petrol,Manual,17.5,1298,85.8,5,340000,13600,5549.777777777777,2015
80,147,Ford Ecosport,Ford,Ecosport,New Car (On-Road Price) : Rs.10.15-13.71 Lakh*,1015000.0,1371000.0,3,55000,particular,Diesel,Manual,23,1498,98.96,5,925000,37000,18333.333333333332,2021
81,148,Hyundai Grand,Hyundai,Grand,New Car (On-Road Price) : Rs.6.48-6.57 Lakh*,648000.0,657000.0,6,36000,distribuidora,Petrol,Manual,18.9,1197,82,5,400000,16000,6000.0,2018
82,150,Honda City,Honda,City,New Car (On-Road Price) : Rs.12.68-16.80 Lakh*,1268000.0,1680000.0,5,49625,distribuidora,Petrol,Manual,17.8,1497,117.3,5,725000,29000,9925.0,2019
83,152,Mahindra Scorpio,Mahindra,Scorpio,New Car (On-Road Price) : Rs.14.79-19.20 Lakh*,1479000.0,1920000.0,8,95000,particular,Diesel,Manual,12.05,2179,120,8,550000,22000,11875.0,2016
84,153,Ford Aspire,Ford,Aspire,New Car (On-Road Price) : Rs.9.72-10.08 Lakh*,972000.0,1008000.0,4,36000,distribuidora,Diesel,Manual,25.83,1498,99,5,585000,23400,9000.0,2020
85,154,Maruti Wagon R,Maruti,Wagon R,New Car (On-Road Price) : Rs.5.36-7.12 Lakh*,536000.0,712000.0,2,50000,particular,Petrol,Manual,21.79,998,67.05,5,411000,16440,25000.0,2022
86,155,Maruti Swift Dzire,Maruti,Swift Dzire,New Car (On-Road Price) : Rs.6.80-10.13 Lakh*,680000.0,1013000.0,6,26500,particular,Petrol,Manual,20.85,1197,83.14,5,450000,18000,4416.666666666667,2018
87,156,Honda CR-V,Honda,CR-V,New Car (On-Road Price) : Rs.32.64-34.05 Lakh*,3264000.0,3405000.0,6,80000,distribuidora,Petrol,Automatic,13.7,1997,153.86,5,1290000,51600,13333.333333333334,2018
88,158,Hyundai Grand,Hyundai,Grand,New Car (On-Road Price) : Rs.5.96-8.91 Lakh*,596000.0,891000.0,2,9000,particular,Petrol,Manual,20.7,1197,81.86,5,710000,28400,4500.0,2022
89,161,Honda City,Honda,City,New Car (On-Road Price) : Rs.12.68-16.80 Lakh*,1268000.0,1680000.0,5,53000,distribuidora,Petrol,Manual,16.8,1497,116.3,5,770000,30800,10600.0,2019
90,164,Ford Endeavour,Ford,Endeavour,New Car (On-Road Price) : Rs.36.27-42.73 Lakh*,3627000.0,4273000.0,3,11387,particular,Diesel,Automatic,10.91,3198,197,7,2900000,116000,3795.6666666666665,2021
91,165,Honda Amaze,Honda,Amaze,New Car (On-Road Price) : Rs.8.99-11.66 Lakh*,899000.0,1166000.0,3,50000,particular,Diesel,Manual,25.8,1498,98.6,5,720000,28800,16666.666666666668,2021
92,168,Datsun GO,Datsun,GO,New Car (On-Road Price) : Rs.4.80-7.88 Lakh*,480000.0,788000.0,6,35000,particular,Petrol,Manual,19.44,1198,67,7,400000,16000,5833.333333333333,2018
93,170,Honda Jazz,Honda,Jazz,New Car (On-Road Price) : Rs.8.56-10.99 Lakh*,856000.0,1099000.0,3,18000,particular,Petrol,Manual,18.7,1199,88.7,5,600000,24000,6000.0,2021
94,172,Hyundai i20,Hyundai,i20,New Car (On-Road Price) : Rs.7.63-12.66 Lakh*,763000.0,1266000.0,6,30000,particular,Petrol,Manual,18.6,1197,81.83,5,500000,20000,5000.0,2018
95,173,Hyundai Verna,Hyundai,Verna,New Car (On-Road Price) : Rs.13.09-18.29 Lakh*,1309000.0,1829000.0,6,55000,distribuidora,Diesel,Manual,23.9,1582,126.2,5,650000,26000,9166.666666666666,2018
96,176,Maruti Swift,Maruti,Swift,New Car (On-Road Price) : Rs.6.29-9.14 Lakh*,629000.0,914000.0,3,10000,particular,Petrol,Automatic,21.21,1197,81.8,5,660000,26400,3333.3333333333335,2021
97,180,Kia Seltos,Kia,Seltos,New Car (On-Road Price) : Rs.11.52-20.26 Lakh*,1152000.0,2026000.0,1,8000,distribuidora,Petrol,Manual,16.8,1497,113.4,5,1275000,51000,8000.0,2023
98,186,Hyundai Grand,Hyundai,Grand,New Car (On-Road Price) : Rs.7.11-7.48 Lakh*,711000.0,748000.0,5,25000,particular,Petrol,Manual,18.9,1197,82,5,475000,19000,5000.0,2019
99,189,Maruti Ciaz,Maruti,Ciaz,New Car (On-Road Price) : Rs.9.42-12.72 Lakh*,942000.0,1272000.0,6,70000,particular,Petrol,Manual,20.73,1373,91.1,5,530000,21200,11666.666666666666,2018
101,191,Hyundai Verna,Hyundai,Verna,New Car (On-Road Price) : Rs.10.18-15.87 Lakh*,1018000.0,1587000.0,6,9100,particular,Petrol,Manual,17.01,1591,121.3,5,650000,26000,1516.6666666666667,2018
102,193,Honda City,Honda,City,New Car (On-Road Price) : Rs.12.24-16.17 Lakh*,1224000.0,1617000.0,11,86000,distribuidora,Petrol,Manual,17,1497,118,5,335000,13400,7818.181818181818,2013
103,197,Maruti Wagon R,Maruti,Wagon R,New Car (On-Road Price) : Rs.5.11-6.79 Lakh*,511000.0,679000.0,2,7883,concessionaria,Petrol,Automatic,21.5,1197,81.8,5,550000,22000,3941.5,2022
104,199,Mahindra Bolero,Mahindra,Bolero,New Car (On-Road Price) : Rs.8.93-10.47 Lakh*,893000.0,1047000.0,13,220000,particular,Diesel,Manual,13.6,2523,63,7,260000,10400,16923.076923076922,2011
105,201,Mahindra Scorpio,Mahindra,Scorpio,New Car (On-Road Price) : Rs.14.90-19.43 Lakh*,1490000.0,1943000.0,9,170000,particular,Diesel,Manual,12.05,2179,120,8,550000,22000,18888.88888888889,2015
106,202,Maruti Swift Dzire,Maruti,Swift Dzire,New Car (On-Road Price) : Rs.6.62-9.95 Lakh*,662000.0,995000.0,3,15000,particular,Petrol,Manual,22,1197,81.8,5,650000,26000,5000.0,2021
107,207,Kia Seltos,Kia,Seltos,New Car (On-Road Price) : Rs.11.19-19.20 Lakh*,1119000.0,1920000.0,2,7000,particular,Petrol,Manual,16.1,1353,138,5,1300000,52000,3500.0,2022
108,209,Maruti Celerio,Maruti,Celerio,New Car (On-Road Price) : Rs.5.30-6.65 Lakh*,530000.0,665000.0,1,8700,particular,Petrol,Manual,21.63,998,67.04,5,505000,20200,8700.0,2023
109,210,Maruti Alto,Maruti,Alto,New Car (On-Road Price) : Rs.3.47-4.66 Lakh*,347000.0,466000.0,2,25000,particular,Petrol,Manual,24.7,796,47.3,5,310000,12400,12500.0,2022
110,211,Hyundai i20,Hyundai,i20,New Car (On-Road Price) : Rs.8.03-13.41 Lakh*,803000.0,1341000.0,6,42000,distribuidora,Petrol,Manual,18.6,1197,81.86,5,545000,21800,7000.0,2018
111,214,Mahindra Bolero,Mahindra,Bolero,New Car (On-Road Price) : Rs.9.05-10.69 Lakh*,905000.0,1069000.0,15,120000,particular,Diesel,Manual,13.6,2523,63,7,150000,6000,8000.0,2009
112,215,Maruti Baleno,Maruti,Baleno,New Car (On-Road Price) : Rs.6.58-10.17 Lakh*,658000.0,1017000.0,3,50000,particular,Petrol,Manual,21.4,1197,83.1,5,580000,23200,16666.666666666668,2021
113,216,Maruti Wagon R,Maruti,Wagon R,New Car (On-Road Price) : Rs.5.35-7.13 Lakh*,535000.0,713000.0,10,58000,particular,Petrol,Manual,18.9,998,67.1,5,250000,10000,5800.0,2014
114,217,Hyundai Verna,Hyundai,Verna,New Car (On-Road Price) : Rs.10.54-16.52 Lakh*,1054000.0,1652000.0,4,36000,particular,Petrol,Manual,17.43,1396,105.5,5,650000,26000,9000.0,2020
115,221,Ford Ecosport,Ford,Ecosport,New Car (On-Road Price) : Rs.10.14-13.79 Lakh*,1014000.0,1379000.0,6,162828,distribuidora,Diesel,Manual,22.77,1498,98.59,5,531000,21240,27138.0,2018
116,224,Maruti Wagon R,Maruti,Wagon R,New Car (On-Road Price) : Rs.6.15-6.23 Lakh*,615000.0,623000.0,3,52000,distribuidora,CNG,Manual,33.54,998,67.04,5,435000,17400,17333.333333333332,2021
117,225,Ford Figo,Ford,Figo,New Car (On-Road Price) : Rs.8.96-9.46 Lakh*,896000.0,946000.0,9,74000,distribuidora,Diesel,Manual,20,1399,68.05,5,185000,7400,8222.222222222223,2015
118,226,Mahindra Bolero,Mahindra,Bolero,New Car (On-Road Price) : Rs.9.05-10.69 Lakh*,905000.0,1069000.0,10,47000,distribuidora,Diesel,Manual,15.96,2523,62.1,7,440000,17600,4700.0,2014
119,227,Hyundai i20,Hyundai,i20,New Car (On-Road Price) : Rs.7.63-12.66 Lakh*,763000.0,1266000.0,6,50000,particular,Petrol,Manual,18.6,1197,81.83,5,450000,18000,8333.333333333334,2018
120,228,Maruti Baleno,Maruti,Baleno,New Car (On-Road Price) : Rs.6.93-10.63 Lakh*,693000.0,1063000.0,4,100000,particular,Petrol,Manual,21.4,1197,83.1,5,600000,24000,25000.0,2020
121,229,Maruti Celerio,Maruti,Celerio,New Car (On-Road Price) : Rs.5.12-6.48 Lakh*,512000.0,648000.0,7,35000,particular,Petrol,Manual,23.1,998,67.04,5,320000,12800,5000.0,2017
122,231,Ford Aspire,Ford,Aspire,New Car (On-Road Price) : Rs.6.85-8.45 Lakh*,685000.0,845000.0,3,10000,particular,Petrol,Manual,18.16,1196,86.8,5,630000,25200,3333.3333333333335,2021
123,232,Maruti Alto,Maruti,Alto,New Car (On-Road Price) : Rs.3.47-4.65 Lakh*,347000.0,465000.0,5,10370,particular,Petrol,Manual,22.74,796,47.3,5,320000,12800,2074.0,2019
124,233,Honda City,Honda,City,New Car (On-Road Price) : Rs.12.68-16.80 Lakh*,1268000.0,1680000.0,8,62000,distribuidora,Petrol,Manual,16.8,1497,116.3,5,465000,18600,7750.0,2016
125,237,Maruti Swift,Maruti,Swift,New Car (On-Road Price) : Rs.6.29-9.14 Lakh*,629000.0,914000.0,4,60000,particular,Petrol,Manual,22,1197,81.8,5,445000,17800,15000.0,2020
126,239,Maruti Wagon R,Maruti,Wagon R,New Car (On-Road Price) : Rs.5.97-6.04 Lakh*,597000.0,604000.0,8,64000,distribuidora,CNG,Manual,33.54,998,67.04,5,270000,10800,8000.0,2016
